ID,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
UN,ELEC,Jarrett Gordon Ford Lincoln,3015 Lake Alfred Rd,,Winter Haven,FL,33881,Public - Call ahead,Dealership business hours,,,,,,2,,,Unknown,,200-9,28.053921,-81.734334,2/6/2019,51971,2019-05-14 21:16:45 UTC,P,,,7/21/16,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,Town Hall,14 Court Square,Located in the parking lot behind town hall,Greenfield,MA,1301,Public,24 hours daily,,,,,,2,,,Unknown,,200-9,42.587554,-72.601296,8/7/2018,52054,2019-05-14 21:16:45 UTC,LG,,,9/29/16,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,
UN,ELEC,Mount Washington Auto Road,1 Mount Washington Auto Rd,Located on left side of Red Barn at the lodge on the east side of Rt 16.,Gorham,NH,3581,Public,24 hours daily; donations accepted,,,,,,2,,,Unknown,,GPS,44.288822,-71.224619,4/8/2019,52659,2019-05-14 21:16:45 UTC,P,,,5/1/16,,,,,J1772,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,Free,,,,,,,,,
UN,ELEC,Shelby Farms Park Conservancy,518 Pine Lake Dr,,Memphis,TN,38134,Public,Dawn to dusk daily,,,,,,10,,,Unknown,,GPS,35.140771,-89.834205,9/10/2018,52834,2019-05-14 21:16:45 UTC,LG,,,9/1/16,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,Free,,,,,,,,,SOLAR
UN,ELEC,Corwin Ford,5707 E Gate Blvd,,Nampa,ID,83687,Public,Dealership business hours,,,,,,1,,,Unknown,,200-9,43.600942,-116.507727,3/7/2019,53854,2019-05-14 21:16:45 UTC,P,,,4/1/15,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,16800 Building,16800 Aston St,,Irvine,CA,92606,Public,24 hours daily; Also accepts Mobile Now,,,,,,2,,,Unknown,,200-9,33.700072,-117.842978,9/10/2018,53907,2019-05-14 21:16:45 UTC,P,,,7/1/17,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,$2 per hour,,,,,,,,,
UN,ELEC,Rick Hendrick Chevrolet Buick GMC,12050 W Broad St,,Richmond,VA,23233,Public - Call ahead,24 hours daily,,,,,,2,,,Unknown,,200-9,37.660063,-77.629638,12/11/2018,53958,2019-05-14 21:16:45 UTC,P,,,2/1/17,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,Rockwall Ford,990 E I-30,,Rockwall,TX,75087,Public - Call ahead,Dealership business hours,,,,,,2,,,Unknown,,200-9,32.907799,-96.453575,2/6/2019,53992,2019-05-14 21:16:45 UTC,P,,,7/1/15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,Harris Teeter,2425 N Harrison St,,Arlington,VA,22207,Public,24 hours daily,,,,,,2,,,Unknown,,200-9,38.89714,-77.138326,6/5/2018,53995,2019-05-14 21:16:45 UTC,P,,,4/16/18,,,,,J1772,US,,,,Public,,public,,,GROCERY,,,,,,,,,,,,,,,,
UN,ELEC,Krenzen Nissan,2500 Mall Dr,,Duluth,MN,55811,Public - Call ahead,Dealership business hours,,,,,,1,,,Unknown,,200-9,46.812424,-92.174053,7/9/2018,60979,2019-05-14 21:16:45 UTC,P,,,2/10/16,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,
